season,team,team_official,matches,wins,draws,losses,points,points_per_match,goals_for,goals_against,goal_difference,goals_for_per_match,goals_against_per_match,clean_sheets,failed_to_score,home_matches,home_wins,home_draws,home_losses,home_points,home_points_per_match,home_goals_for,home_goals_against,home_goal_difference,home_goals_for_per_match,home_goals_against_per_match,home_clean_sheets,home_failed_to_score,away_matches,away_wins,away_draws,away_losses,away_points,away_points_per_match,away_goals_for,away_goals_against,away_goal_difference,away_goals_for_per_match,away_goals_against_per_match,away_clean_sheets,away_failed_to_score
2016-17,Leganes,CD Leganés,38,8,11,19,35,0.92,36,55,-19,0.95,1.45,11,15,19,5,6,8,21,1.11,22,23,-1,1.16,1.21,9,8,19,3,5,11,14,0.74,14,32,-18,0.74,1.68,2,7
2016-17,Sp Gijon,Sporting Gijón,38,7,10,21,31,0.82,42,72,-30,1.11,1.89,7,9,19,5,4,10,19,1.0,26,38,-12,1.37,2.0,1,3,19,2,6,11,12,0.63,16,34,-18,0.84,1.79,6,6
2016-17,Osasuna,CA Osasuna,38,4,10,24,22,0.58,40,94,-54,1.05,2.47,2,12,19,2,7,10,13,0.68,23,39,-16,1.21,2.05,1,5,19,2,3,14,9,0.47,17,55,-38,0.89,2.89,1,7
2016-17,Granada,Granada CF,38,4,8,26,20,0.53,30,82,-52,0.79,2.16,3,14,19,4,4,11,16,0.84,17,32,-15,0.89,1.68,2,7,19,0,4,15,4,0.21,13,50,-37,0.68,2.63,1,7
2017-18,Barcelona,FC Barcelona,38,28,9,1,93,2.45,99,29,70,2.61,0.76,19,1,19,16,3,0,51,2.68,53,11,42,2.79,0.58,10,1,19,12,6,1,42,2.21,46,18,28,2.42,0.95,9,0
2017-18,Ath Madrid,Club Atlético de Madrid,38,23,10,5,79,2.08,58,22,36,1.53,0.58,23,8,19,12,6,1,42,2.21,30,8,22,1.58,0.42,13,3,19,11,4,4,37,1.95,28,14,14,1.47,0.74,10,5
2017-18,Real Madrid,Real Madrid CF,38,22,10,6,76,2.0,94,44,50,2.47,1.16,10,6,19,12,4,3,40,2.11,54,20,34,2.84,1.05,6,3,19,10,6,3,36,1.89,40,24,16,2.11,1.26,4,3
2017-18,Valencia,Valencia CF,38,22,7,9,73,1.92,65,38,27,1.71,1.0,12,6,19,13,3,3,42,2.21,36,16,20,1.89,0.84,8,3,19,9,4,6,31,1.63,29,22,7,1.53,1.16,4,3
2017-18,Villarreal,Villarreal CF,38,18,7,13,61,1.61,57,50,7,1.5,1.32,11,8,19,11,3,5,36,1.89,35,22,13,1.84,1.16,6,3,19,7,4,8,25,1.32,22,28,-6,1.16,1.47,5,5
2017-18,Betis,Real Betis Balompié,38,18,6,14,60,1.58,60,61,-1,1.58,1.61,13,11,19,10,4,5,34,1.79,35,31,4,1.84,1.63,6,4,19,8,2,9,26,1.37,25,30,-5,1.32,1.58,7,7
2017-18,Sevilla,Sevilla FC,38,17,7,14,58,1.53,49,58,-9,1.29,1.53,14,9,19,11,5,3,38,2.0,31,22,9,1.63,1.16,9,2,19,6,2,11,20,1.05,18,36,-18,0.95,1.89,5,7
2017-18,Getafe,Getafe CF,38,15,10,13,55,1.45,42,33,9,1.11,0.87,14,13,19,9,4,6,31,1.63,26,13,13,1.37,0.68,9,6,19,6,6,7,24,1.26,16,20,-4,0.84,1.05,5,7
2017-18,Eibar,SD Eibar,38,14,9,15,51,1.34,44,50,-6,1.16,1.32,11,15,19,8,4,7,28,1.47,26,19,7,1.37,1.0,6,8,19,6,5,8,23,1.21,18,31,-13,0.95,1.63,5,7
2017-18,Girona,Girona FC,38,14,9,15,51,1.34,50,59,-9,1.32,1.55,11,10,19,8,3,8,27,1.42,26,22,4,1.37,1.16,7,5,19,6,6,7,24,1.26,24,37,-13,1.26,1.95,4,5
2017-18,Sociedad,Real Sociedad,38,14,7,17,49,1.29,66,59,7,1.74,1.55,10,9,19,10,3,6,33,1.74,47,29,18,2.47,1.53,5,1,19,4,4,11,16,0.84,19,30,-11,1.0,1.58,5,8
2017-18,Celta,RC Celta de Vigo,38,13,10,15,49,1.29,59,60,-1,1.55,1.58,7,8,19,8,8,3,32,1.68,34,23,11,1.79,1.21,5,3,19,5,2,12,17,0.89,25,37,-12,1.32,1.95,2,5
2017-18,Espanol,RCD Espanyol,38,12,13,13,49,1.29,36,42,-6,0.95,1.11,12,15,19,8,6,5,30,1.58,20,16,4,1.05,0.84,6,7,19,4,7,8,19,1.0,16,26,-10,0.84,1.37,6,8
2017-18,Alaves,Deportivo Alavés,38,15,2,21,47,1.24,40,50,-10,1.05,1.32,12,13,19,9,1,9,28,1.47,21,23,-2,1.11,1.21,7,4,19,6,1,12,19,1.0,19,27,-8,1.0,1.42,5,9
2017-18,Levante,Levante UD,38,11,13,14,46,1.21,44,58,-14,1.16,1.53,10,13,19,7,6,6,27,1.42,25,28,-3,1.32,1.47,4,5,19,4,7,8,19,1.0,19,30,-11,1.0,1.58,6,8
2017-18,Ath Bilbao,Athletic Bilbao,38,10,13,15,43,1.13,41,49,-8,1.08,1.29,11,12,19,6,8,5,26,1.37,19,16,3,1.0,0.84,9,6,19,4,5,10,17,0.89,22,33,-11,1.16,1.74,2,6
2017-18,Leganes,CD Leganés,38,12,7,19,43,1.13,34,51,-17,0.89,1.34,14,17,19,9,4,6,31,1.63,19,19,0,1.0,1.0,9,8,19,3,3,13,12,0.63,15,32,-17,0.79,1.68,5,9
2017-18,La Coruna,Deportivo La Coruña,38,6,11,21,29,0.76,38,76,-38,1.0,2.0,6,14,19,4,6,9,18,0.95,22,33,-11,1.16,1.74,4,5,19,2,5,12,11,0.58,16,43,-27,0.84,2.26,2,9
2017-18,Las Palmas,UD Las Palmas,38,5,7,26,22,0.58,24,74,-50,0.63,1.95,5,20,19,4,2,13,14,0.74,15,38,-23,0.79,2.0,3,7,19,1,5,13,8,0.42,9,36,-27,0.47,1.89,2,13
2017-18,Malaga,Málaga CF,38,5,5,28,20,0.53,24,61,-37,0.63,1.61,6,23,19,4,3,12,15,0.79,14,27,-13,0.74,1.42,4,11,19,1,2,16,5,0.26,10,34,-24,0.53,1.79,2,12
2018-19,Barcelona,FC Barcelona,38,26,9,3,87,2.29,90,36,54,2.37,0.95,17,3,19,15,3,1,48,2.53,51,17,34,2.68,0.89,9,0,19,11,6,2,39,2.05,39,19,20,2.05,1.0,8,3
2018-19,Ath Madrid,Club Atlético de Madrid,38,22,10,6,76,2.0,55,29,26,1.45,0.76,20,6,19,15,3,1,48,2.53,32,10,22,1.68,0.53,13,0,19,7,7,5,28,1.47,23,19,4,1.21,1.0,7,6
2018-19,Real Madrid,Real Madrid CF,38,21,5,12,68,1.79,63,46,17,1.66,1.21,12,9,19,13,1,5,40,2.11,32,15,17,1.68,0.79,10,4,19,8,4,7,28,1.47,31,31,0,1.63,1.63,2,5
2018-19,Valencia,Valencia CF,38,15,16,7,61,1.61,51,35,16,1.34,0.92,13,11,19,7,10,2,31,1.63,24,12,12,1.26,0.63,7,6,19,8,6,5,30,1.58,27,23,4,1.42,1.21,6,5
2018-19,Sevilla,Sevilla FC,38,17,8,13,59,1.55,62,47,15,1.63,1.24,11,12,19,12,3,4,39,2.05,39,20,19,2.05,1.05,8,4,19,5,5,9,20,1.05,23,27,-4,1.21,1.42,3,8
2018-19,Getafe,Getafe CF,38,15,14,9,59,1.55,48,35,13,1.26,0.92,13,11,19,11,3,5,36,1.89,28,13,15,1.47,0.68,10,6,19,4,11,4,23,1.21,20,22,-2,1.05,1.16,3,5
2018-19,Espanol,RCD Espanyol,38,14,11,13,53,1.39,48,50,-2,1.26,1.32,10,8,19,11,3,5,36,1.89,28,22,6,1.47,1.16,7,2,19,3,8,8,17,0.89,20,28,-8,1.05,1.47,3,6
2018-19,Ath Bilbao,Athletic Bilbao,38,13,14,11,53,1.39,41,45,-4,1.08,1.18,10,11,19,9,8,2,35,1.84,26,19,7,1.37,1.0,7,3,19,4,6,9,18,0.95,15,26,-11,0.79,1.37,3,8
2018-19,Sociedad,Real Sociedad,38,13,11,14,50,1.32,45,46,-1,1.18,1.21,9,13,19,7,6,6,27,1.42,23,20,3,1.21,1.05,4,7,19,6,5,8,23,1.21,22,26,-4,1.16,1.37,5,6
2018-19,Betis,Real Betis Balompié,38,14,8,16,50,1.32,44,52,-8,1.16,1.37,11,10,19,8,5,6,29,1.53,25,26,-1,1.32,1.37,5,2,19,6,3,10,21,1.11,19,26,-7,1.0,1.37,6,8
2018-19,Alaves,Deportivo Alavés,38,13,11,14,50,1.32,39,50,-11,1.03,1.32,8,13,19,7,8,4,29,1.53,19,19,0,1.0,1.0,5,7,19,6,3,10,21,1.11,20,31,-11,1.05,1.63,3,6
2018-19,Eibar,SD Eibar,38,11,14,13,47,1.24,46,50,-4,1.21,1.32,9,11,19,9,6,4,33,1.74,31,21,10,1.63,1.11,7,2,19,2,8,9,14,0.74,15,29,-14,0.79,1.53,2,9
2018-19,Leganes,CD Leganés,38,11,12,15,45,1.18,37,43,-6,0.97,1.13,11,13,19,7,8,4,29,1.53,19,16,3,1.0,0.84,7,5,19,4,4,11,16,0.84,18,27,-9,0.95,1.42,4,8
2018-19,Villarreal,Villarreal CF,38,10,14,14,44,1.16,49,52,-3,1.29,1.37,11,9,19,5,8,6,23,1.21,28,26,2,1.47,1.37,3,3,19,5,6,8,21,1.11,21,26,-5,1.11,1.37,8,6
2018-19,Levante,Levante UD,38,11,11,16,44,1.16,59,66,-7,1.55,1.74,7,9,19,6,7,6,25,1.32,34,34,0,1.79,1.79,5,3,19,5,4,10,19,1.0,25,32,-7,1.32,1.68,2,6
2018-19,Celta,RC Celta de Vigo,38,10,11,17,41,1.08,53,62,-9,1.39,1.63,8,9,19,8,5,6,29,1.53,31,25,6,1.63,1.32,6,3,19,2,6,11,12,0.63,22,37,-15,1.16,1.95,2,6
2018-19,Valladolid,Real Valladolid CF,38,10,11,17,41,1.08,32,51,-19,0.84,1.34,9,17,19,5,5,9,20,1.05,16,26,-10,0.84,1.37,5,8,19,5,6,8,21,1.11,16,25,-9,0.84,1.32,4,9
2018-19,Girona,Girona FC,38,9,10,19,37,0.97,37,53,-16,0.97,1.39,9,14,19,3,6,10,15,0.79,17,28,-11,0.89,1.47,4,7,19,6,4,9,22,1.16,20,25,-5,1.05,1.32,5,7
2018-19,Huesca,SD Huesca,38,7,12,19,33,0.87,43,65,-22,1.13,1.71,6,13,19,5,6,8,21,1.11,24,30,-6,1.26,1.58,3,7,19,2,6,11,12,0.63,19,35,-16,1.0,1.84,3,6
2018-19,Vallecano,Rayo Vallecano,38,8,8,22,32,0.84,41,70,-29,1.08,1.84,7,9,19,5,6,8,21,1.11,25,32,-7,1.32,1.68,4,3,19,3,2,14,11,0.58,16,38,-22,0.84,2.0,3,6
2019-20,Real Madrid,Real Madrid CF,38,26,9,3,87,2.29,70,25,45,1.84,0.66,19,6,19,15,4,0,49,2.58,40,11,29,2.11,0.58,11,2,19,11,5,3,38,2.0,30,14,16,1.58,0.74,8,4
2019-20,Barcelona,FC Barcelona,38,25,7,6,82,2.16,86,38,48,2.26,1.0,15,6,19,16,2,1,50,2.63,52,16,36,2.74,0.84,8,1,19,9,5,5,32,1.68,34,22,12,1.79,1.16,7,5
2019-20,Ath Madrid,Club Atlético de Madrid,38,18,16,4,70,1.84,51,27,24,1.34,0.71,17,9,19,12,6,1,42,2.21,28,11,17,1.47,0.58,10,4,19,6,10,3,28,1.47,23,16,7,1.21,0.84,7,5
2019-20,Sevilla,Sevilla FC,38,19,13,6,70,1.84,54,34,20,1.42,0.89,17,4,19,10,7,2,37,1.95,26,14,12,1.37,0.74,9,2,19,9,6,4,33,1.74,28,20,8,1.47,1.05,8,2
2019-20,Villarreal,Villarreal CF,38,18,6,14,60,1.58,63,49,14,1.66,1.29,12,3,19,9,5,5,32,1.68,37,25,12,1.95,1.32,7,2,19,9,1,9,28,1.47,26,24,2,1.37,1.26,5,1
2019-20,Sociedad,Real Sociedad,38,16,8,14,56,1.47,56,48,8,1.47,1.26,9,7,19,9,4,6,31,1.63,33,20,13,1.74,1.05,6,2,19,7,4,8,25,1.32,23,28,-5,1.21,1.47,3,5
2019-20,Granada,Granada CF,38,16,8,14,56,1.47,52,45,7,1.37,1.18,13,10,19,10,3,6,33,1.74,26,16,10,1.37,0.84,8,3,19,6,5,8,23,1.21,26,29,-3,1.37,1.53,5,7
2019-20,Getafe,Getafe CF,38,14,12,12,54,1.42,43,37,6,1.13,0.97,15,14,19,8,6,5,30,1.58,25,20,5,1.32,1.05,8,7,19,6,6,7,24,1.26,18,17,1,0.95,0.89,7,7
2019-20,Valencia,Valencia CF,38,14,11,13,53,1.39,46,53,-7,1.21,1.39,8,9,19,11,7,1,40,2.11,29,16,13,1.53,0.84,7,1,19,3,4,12,13,0.68,17,37,-20,0.89,1.95,1,8
2019-20,Osasuna,CA Osasuna,38,13,13,12,52,1.37,46,54,-8,1.21,1.42,11,12,19,7,7,5,28,1.47,26,29,-3,1.37,1.53,6,6,19,6,6,7,24,1.26,20,25,-5,1.05,1.32,5,6
2019-20,Ath Bilbao,Athletic Bilbao,38,13,12,13,51,1.34,41,38,3,1.08,1.0,12,13,19,9,4,6,31,1.63,21,14,7,1.11,0.74,8,6,19,4,8,7,20,1.05,20,24,-4,1.05,1.26,4,7
2019-20,Levante,Levante UD,38,14,7,17,49,1.29,47,53,-6,1.24,1.39,6,11,19,9,5,5,32,1.68,27,19,8,1.42,1.0,5,4,19,5,2,12,17,0.89,20,34,-14,1.05,1.79,1,7
2019-20,Valladolid,Real Valladolid CF,38,9,15,14,42,1.11,32,43,-11,0.84,1.13,12,15,19,5,10,4,25,1.32,18,15,3,0.95,0.79,8,7,19,4,5,10,17,0.89,14,28,-14,0.74,1.47,4,8
2019-20,Eibar,SD Eibar,38,11,9,18,42,1.11,39,56,-17,1.03,1.47,11,15,19,8,3,8,27,1.42,25,25,0,1.32,1.32,6,6,19,3,6,10,15,0.79,14,31,-17,0.74,1.63,5,9
2019-20,Betis,Real Betis Balompié,38,10,11,17,41,1.08,48,60,-12,1.26,1.58,6,10,19,9,4,6,31,1.63,34,27,7,1.79,1.42,3,1,19,1,7,11,10,0.53,14,33,-19,0.74,1.74,3,9
2019-20,Alaves,Deportivo Alavés,38,10,9,19,39,1.03,34,59,-25,0.89,1.55,9,14,19,7,6,6,27,1.42,20,19,1,1.05,1.0,7,6,19,3,3,13,12,0.63,14,40,-26,0.74,2.11,2,8
2019-20,Celta,RC Celta de Vigo,38,7,16,15,37,0.97,37,49,-12,0.97,1.29,12,14,19,5,8,6,23,1.21,22,20,2,1.16,1.05,6,6,19,2,8,9,14,0.74,15,29,-14,0.79,1.53,6,8
2019-20,Leganes,CD Leganés,38,8,12,18,36,0.95,30,51,-21,0.79,1.34,9,16,19,5,5,9,20,1.05,17,26,-9,0.89,1.37,5,7,19,3,7,9,16,0.84,13,25,-12,0.68,1.32,4,9
2019-20,Mallorca,RCD Mallorca,38,9,6,23,33,0.87,40,65,-25,1.05,1.71,5,18,19,8,3,8,27,1.42,25,22,3,1.32,1.16,5,7,19,1,3,15,6,0.32,15,43,-28,0.79,2.26,0,11
2019-20,Espanol,RCD Espanyol,38,5,10,23,25,0.66,27,58,-31,0.71,1.53,6,18,19,2,6,11,12,0.63,15,31,-16,0.79,1.63,3,8,19,3,4,12,13,0.68,12,27,-15,0.63,1.42,3,10
